(''Alabama'',35850,20,426,3706838,2114,44058,15475,12,0,0,0,283,0,23,0,0,0,11193,1,10175869,1533,0,326186,0,0,535489,67,4102,"0),"
(''Alaska'',166,0,2,8282976,9005,187608,NULL,1,0,0,0,1373433,493,98669,NULL,NULL,NULL,513,0,466797,61,0,13156,15437,1,NULL,NULL,23675,"5),"
(''Arizona'',121305,52,1096,11867693,5147,107230,22736,14,12544333,3527,107238,26036,10,2180,NULL,NULL,NULL,1087,0,988705,837,0,178188,8329,1,1239147,157,1303,"0),"
(''Arkansas'',28960,15,332,4986388,2747,57239,8484,6,0,0,0,22892,9,1840,NULL,NULL,NULL,14381,1,13074040,1063,0,226178,0,0,628621,79,6093,"1),"
(''California'',246008,111,2320,8855917,4010,83549,106411,75,8490916,2725,82859,89862,34,6822,2662579,654,130966,12408,1,11280245,15510,1,3300211,130921,16,1344179,170,30023,"6),"
(''Colorado'',43470,19,399,10238083,4514,94046,16162,11,9154524,3097,94173,1096035,387,77443,NULL,NULL,NULL,2913,0,2648462,1224,0,260470,8953,1,1251657,158,7789,"1),"
(''Connecticut'',7716,4,100,19627,12,256,6616,5,0,0,0,61,0,5,26545,7,1434,494,0,449775,414,0,88227,0,0,56078,7,922,"0),"
(''Delaware'',14856,9,189,272332,167,3482,2185,1,0,0,0,21,0,1,60654,15,3007,512,0,465802,385,0,82013,0,0,22813,2,30,"0),"
(''District of Columbia'',8,0,0,0,0,0,2490,2,0,0,0,0,0,0,NULL,NULL,NULL,61,0,56180,4,0,977,0,0,697,0,0,"0),"
(''Florida'',72787,39,830,5137346,2812,58596,63986,49,358,0,3,0,0,0,34684,9,1929,9664,1,8785824,3693,0,785787,0,0,374161,47,682,"0),"
(''Georgia'',43166,24,505,5492183,3088,64343,31116,24,0,0,0,322,0,26,220807,58,11725,14682,1,13347586,2220,0,472546,0,0,353206,44,1988,"0),"
(''Hawaii'',3725,1,34,38032,20,430,NULL,2,15369,5,168,7786,2,493,2836735,736,147389,524,0,476459,200,0,42602,20632,2,NULL,NULL,2602,"0),"
(''Idaho'',23194,12,251,3936847,2045,42612,4051,3,3502877,1267,38523,44319,18,3615,NULL,NULL,NULL,5775,0,5250560,182,0,38830,17205,2,993257,125,18757,"4),"
(''Illinois'',103551,63,1324,8090985,4969,103524,30086,26,0,0,0,649467,249,49976,66070,15,3174,27738,3,25216443,4222,0,898345,0,0,676055,85,4882,"1),"
(''Indiana'',98815,61,1274,4876185,3018,62890,17151,14,0,0,0,377603,148,29645,165,0,9,14941,1,13583318,2978,0,633660,0,0,434258,55,2394,"0),"
(''Iowa'',27091,15,324,6994159,4020,83762,8646,7,0,0,0,1723587,570,114142,NULL,NULL,NULL,27502,3,25002253,1425,0,303277,0,0,606390,76,2818,"0),"
(''Kansas'',31705,15,317,14500149,6959,144995,8962,6,7974255,2884,87697,3101575,952,190474,NULL,NULL,NULL,12104,1,11004052,753,0,160219,0,0,989675,125,2507,"0),"
